Response	Support required Office	Support other program-specific duties?	What other input do you have for the negotiating team and executive board?	What is your primary program/department?	What is the full-time workload in your primary department?	What campus(es) do you work at?
73	Oppose	I oppose any additional duties	"I thought the whole point of this proposal was to equalize our work load with other departments, not to add more work.  The disparity of workload vs. pay is already there. Wasn't this whole thing aimed at fixing that? My understanding was that we're not asking for a pay increase per se, but rather a reduction in what is considered a full time load in ABE/ESL to match that of other departments without a reduction in pay. Am I talking about the wrong issue, or does somebody else misunderstand the reason for our discontent?  On the other hand, is this ""raising pay"" proposal intended as an interim measure for pushing through State legislation (if that's needed) to equalize our hours?  If so, would that work? I'm confused now."	ESL	18-20 hour	North
93	Oppose	I oppose any additional duties	"""Part-time"" ABE/ESL faculty at North have already had their off-the-clock unpaid workload increased by 50% over the past 8 years.  We are forced to submit rosters, take attendance, complete registration forms, pressure students to submit and authorize use of social security numbers, ""correct"" student hand writing on registration forms, ask intrusive questions about family status and employment and on and on.  We also have had workloads cut to the minimum 50% for Priority Hire PT faculty with new PT instructors continually recruited and hired.  If we do more, we must first be compensated for all the add-ons we already complete.  On top of it all, we are regularly solicited for donations to purchase books and materials for low-income students."	ESL	18-20 hour	North
109	Support	Tutoring		ESL	18-20 hour	South
112	Oppose	I oppose any additional duties		ESL	15 hour	North
119	Support	I oppose any additional duties		ESL	18-20 hour	Central
143	Support	I oppose any additional duties	I worry about how requiring a set amount of posted office hours could potentially penalize faculty working at multiple campuses or others whose schedules are tight and are doing most of their prep in their homes or other locations.	ESL	18-20 hour	Central
144	Support	I oppose any additional duties		ESL	30 hour	North
147	Oppose	I oppose any additional duties	Because I work a day job and teach in the evening, I just don't have any additional free hours during the week to devote to office hours or other additional duties.	ESL	18-20 hour	Central
95	Support	I oppose any additional duties		ESL	18-20 hour	Central
89	Oppose	I oppose any additional duties	Thank you for asking, but I want equal pay for equal work.	B&TS	18-20 hour	North
64	Support	I oppose any additional duties		General 		
124	Support	I oppose any additional duties		Health and Medical	15 hour	North
49	Oppose	I oppose any additional duties		Health and Medical		North
134	Support	Educational interviews,Tutoring		HHS		North
116	Oppose	I oppose any additional duties		Home & Family Life	30 hour	South
47	Oppose	I oppose any additional duties		HSS	15 hour	Central
62	Support	I oppose any additional duties		HSS	18-20 hour	Central
29	Support	Tutoring		Humanities	15 hour	Central
126	Oppose	I oppose any additional duties	Increasing pay is the issue. That is equity. If there are funds to give ABE/ESL faculty their rightful pay, then it should be done, without concession. We can change the State Law. They should not be given a speck of additional work; the faculty in ABE/ESL work hard enough already! Give them a pay raise, not more hours!	Hum/SS: English		Central
37	Oppose	I oppose any additional duties		Humanities	30 hour	Central
41	Support	I oppose any additional duties		Humanities	15 hour	North
48	Oppose	I oppose any additional duties		Humanities	15 hour	Central
105	Oppose	I oppose any additional duties	These faculty members already do a tremendous job for less pay. Why should they have to do more in order to receive a pay increase? The executive board should apologize for not having paid the teachers the same way they do other faculty all along. 	Humanities	15 hour	Central
107	Oppose	I oppose any additional duties	ESL and ABE instructor should not have to teach more than three classes daily for a full load.	Humanities	15 hour	Central
110	Support	Educational interviews,Tutoring	It seems to me that what the rest of us think is not the issue, what do the ACE/ESL faculty themselves want?	Humanities	15 hour	Central
103	Oppose	Other (please specify in final question)	"I think this decision should really be made by those who teach ABE/ESL, but I've answered the questions as if the change were affecting me. I would absolutely not want to do 2.75 office hours a week, for a couple of reasons:
1) the offices provided to part time faculty are often not the best spaces, I have never found I can get much done in the windowless closets we are typically afforded, and I choose to do most of my work from home as a result
2) in my 4 years of teaching, I have NEVER had a student come to office hours. Making an appointment to meet with me at a particular time, yes, popping in unplanned to generic office hours, never. Sitting in an office, not doing work, waiting for students who don't show up is a huge waste of time for me. (but again, ABE/ESL might be different)
3) As part-time faculty, I teach at multiple institutions, often meaning I have to come to campus, teach my class, and then immediately jet off somewhere else. Having regular office hours in addition to class time would often necessitate commuting back to the campus a second time in the day, or holding office hours at really inconvenient times for both me and the students."	Humanities and Social Sciences		North
94	Oppose	I oppose any additional duties	No part-time instructor should be required to take on additional duties as we aren't paid nearly enough as it is. We work hard, for a fraction of the salary and stability of full time staff. We have had no raise in the past seven years. It is hard enough to maintain positive morale. Give part-time instructors a raise as a matter of respect; then give them yet another raise to complete additional duties.  	Humanities and Social Sciences	15 hour	Central
52	Support	Other (please specify in final question)	If people would prefer to do other duties instead of office hours, it seems reasonable to allow that option. I have worked at many schools and always had to have office hours. It always seemed odd to me that we didn't require all teachers to have them. 	Humanities/English 	15 hour	Central
128	Oppose	Tutoring		IEP	18-20 hour	North
146	Oppose	I oppose any additional duties	"Additional duties are the equivalent of the hours that are supposedly being ""equalized."" This is not fair."	IEP	18-20 hour	North
44	Support	Tutoring		IT Programs	15 hour	Central
57	Oppose	I oppose any additional duties	"We need a clear, visible, daily union presence on campus to begin to build union consciousness.
We need an organizing team on campus.
Office hours are ok, but most of us are already doing that."	IT Programs	15 hour	Central
22	Support	Educational interviews,Tutoring		IT Programs	30 hour	Central
7		Other (please specify in final question)	Ask the faculty what they most want to spend that time doing...attending meetings?  training? 	Library	30 hour	North
2	Support	I oppose any additional duties		Math	30 hour	North
85	Support	I oppose any additional duties		Math		Central
96	Support	Educational interviews,Tutoring		Math	30 hour	South
149	Oppose	I oppose any additional duties		Math/Science	30 hour	Central
20	Support	Educational interviews,Tutoring	You are all doing a great job!	Math/Science	15 hour	North
76	Support	Educational interviews,Tutoring		Math/Science	15 hour	North
98	Support	I oppose any additional duties	Part-time faculty should be paid the same rate as full-time faculty based on the same education and experience. The pay ceiling is higher for full-time faculty than part-time faculty.  To attract and retain quality part-time faculty which gives our students the best instruction possible, the part-time faculty needs the same pay ceiling as the full-time faculty.	Math/Science	30 hour	North
18	Support		Just a comment - it would be nice if holding office hours could likewise raise the pay for any part-time faculty who do this.	Math	15 hour	Central
60	Support	Tutoring		Math		North
101	Support	I oppose any additional duties	All faculty should be treated equally.	Nursing	15 hour	North
3	Support	I oppose any additional duties		Political Science		North
31	Support	Other (please specify in final question)	I'm non-ESL, so though I'm not opposed to different, but additional duties, I'm not sure I'm comfortable speculating what those duties should be.	Psychology	15 hour	North
115	Support	Educational interviews,Tutoring	"I only support required office hours if they are paid. 
Thanks for all your hard work!"	Psychology	15 hour	Central,North
131	Support	I oppose any additional duties		SAM	15 hour	Central
8	Support	I oppose any additional duties		SAM--Biology	18-20 hour	Central
40	Support	I oppose any additional duties		BITCA	18-20 hour	South,Central
39	Support	Educational interviews,Tutoring		SCIE		Central
67	Support	Tutoring		SCIE	18-20 hour	South,Central
69	Support	Educational interviews,Tutoring		SCIE	18-20 hour	Central
122	Support	Educational interviews,Tutoring		SCIE	18-20 hour	Central
54	Oppose	I oppose any additional duties		SCIE	25 hour	Central
81	Oppose	I oppose any additional duties		Science		North
104	Support		All faculty should have office hours additional to class load.	Math/Science	15 hour	Central
135	Support	Educational interviews,Tutoring		Math/Science	30 hour	Central
141	Support	I oppose any additional duties		science/pre-nursing	15 hour	Central,North
77	Support	I oppose any additional duties		Social Sciences	18-20 hour	Central
30	Support	I oppose any additional duties	"Get this done! This particular ""fix"" is much better than the status quo. Office hours benefit students. Isn't that what we're all here (and paid) for??"	B&TS	18-20 hour	South
13	Support	I oppose any additional duties	Since I already have a shared office with a full-timer and conduct 2hrs of office hours already, this seems natural for me.	Web Design - IT Programs - BITCA	25 hour	Central
114	Support	I oppose any additional duties		Wine Technology	15 hour	South
99	Support	I oppose any additional duties	I already meet with students outside of class and do educational interviewing.  However, I don't like the idea of being told that I have to do these things. I get paid for the educational interviews and it is a necessary supplement to my income.  I am not paid for  office hours, but I meet with students because that is the professional thing to do.  Still I don't like the idea of being told that I HAVE to do it.  With this and the threats to our healthcare benefits, I am starting to feel a little like a Walmart employee, not a professional with seven years of university education.	Worker Retraining	15 hour	South
138	Support		Support - Educational Interviews & Tutoring	Worker Retraining	30 hour	South,Georgetown,New Holly
137	Support	I oppose any additional duties		Workforce Education - SSCC / Corrections Education Progra	15 hour	South
9	Support	Educational interviews,Tutoring,Other (please specify in final question)	"Not sure where 'talk time' might fit.  Great culture divides might be (if not breached) narrowed.  Big educational advantage.

Regarding questions below:  I'm assumeing 'FT' = # of credits taught?  In English, it's 15 for full.  

YET the medical coverage issue now brought up is talking about PT having to work 30 hours per week -- SO I DON'T KNOW WHAT 'WORKLOAD' means !!"		15 hour	South
12	Support	Tutoring	Advising is good to balance as a duty		18-20 hour	SVI
14	Support	Tutoring	Our faculty are the most highly paid in the state to include activities like tutoring and holding office hours.  I don't see these as additional duties.		18-20 hour	Central
15	Support	Tutoring	I am strongly in favor of (finally!) seeing progress in this area.		18-20 hour	North
16	Oppose	I oppose any additional duties				
25	Oppose	I oppose any additional duties				Central
33	Oppose	I oppose any additional duties			15 hour	Central
34	Support	I oppose any additional duties			30 hour	Central
35	Oppose	I oppose any additional duties				
46	Support	I oppose any additional duties			15 hour	North
56	Support	I oppose any additional duties			30 hour	North
59	Support	I oppose any additional duties			18-20 hour	Central
63	Support	I oppose any additional duties			18-20 hour	South,Georgetown,New Holly,Central
70	Support	I oppose any additional duties			18-20 hour	Central
75	Support	Educational interviews,Tutoring,Other (please specify in final question)	Work on committees would be an acceptable additional duty.		18-20 hour	South
80	Support	Tutoring			30 hour	South
88	Oppose	I oppose any additional duties	More money is wasted keeping instructors at 66% and paying for benefits.  It would make more sense to everyone involved (union, colleagues, administration, and students) if instructors were allowed to teach at 100% despite not being tenured faculty.		15 hour	Central
90	Support	I oppose any additional duties			15 hour	Central
100	Support	I oppose any additional duties			15 hour	North
121			What does ABE stand for? I'm assuming ESL is English as Second Language.			
142	Oppose	I oppose any additional duties				South
148	Oppose	I oppose any additional duties			18-20 hour	North
151	Support	I oppose any additional duties		ESL		Central
